AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,abdulfatir/twitter-sentiment-analysis,False,854.76,True,0,1,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,Lightning-AI/pytorch-lightning,True,847.39,True,125.53,11,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,Hironsan/BossSensor,False,844.95,True,30.1,1,Hide screen when boss is approaching.
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,GabrielDornelles/pytorch-ocr,False,825,True,0,1,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,frgfm/torch-cam,False,822.12,True,0,1,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,keras-team/keras,True,1074.55,True,123.04,12,Deep Learning for humans
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,1019.54,True,77.82,5,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,kornia/kornia,False,1012.42,True,69.9,4,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,unit8co/darts,False,1011.57,True,77.82,5,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,streamlit/streamlit,True,965.53,True,123.04,10,Streamlit — A faster way to build and share data apps.
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,929.75,True,0,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,2,brokermr810/QuantDinger,False,844.37,True,0,1,"AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading"
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,3,quantsbin/Quantsbin,False,825,True,0,1,Quantitative Finance tools
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,4,agno-agi/agno,False,777.35,True,90.31,1,"Build, run, and manage agent platforms."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,5,Michalos88/Quant-Projects,False,768.75,True,0,1,Implementations of Leading Algorithms in Quantitative Finance 
apache/airflow,apache-airflow,1,dagster-io/dagster,False,1056.41,True,90.31,1,"An orchestration platform for the development, production, and observation of data assets."
apache/airflow,apache-airflow,2,feast-dev/feast,False,884.15,True,0,1,The Open Source Feature Store for AI/ML
apache/airflow,apache-airflow,3,Avaiga/taipy,False,872.97,True,60.21,1,Turns Data and AI algorithms into production-ready web applications in no time.
apache/airflow,apache-airflow,4,abhishek-ch/around-dataengineering,False,785.08,True,0,1,A Data Engineering & Machine Learning Knowledge Hub
