AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
explosion/spaCy,explosion-spacy,Good,1,2,8,3,10,193,205.88,stanfordnlp/stanza,kornia/kornia,google-deepmind/sonnet,Lightning-AI/pytorch-lightning,jina-ai/annlite,stanfordnlp/stanza | kornia/kornia | google-deepmind/sonnet | Lightning-AI/pytorch-lightning | jina-ai/annlite
gradio-app/gradio,gradio-app-gradio,Good,1,2,4,3,10,222,174.7,NannyML/nannyml,streamlit/streamlit,1adrianb/face-alignment,unit8co/darts,nidhaloff/igel,NannyML/nannyml | streamlit/streamlit | 1adrianb/face-alignment | unit8co/darts | nidhaloff/igel
onnx/onnx,onnx-onnx,Good,1,1,4,3,10,188,252.57,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,stanfordnlp/stanza,Lightning-AI/pytorch-lightning,google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza | Lightning-AI/pytorch-lightning
recommenders-team/recommenders,recommenders-team-recommenders,Good,1,1,5,0,10,215,163.94,kornia/kornia,unit8co/darts,ShoufaChen/DiffusionDet,Lightning-AI/pytorch-lightning,IgorSusmelj/pytorch-styleguide,kornia/kornia | unit8co/darts | ShoufaChen/DiffusionDet | Lightning-AI/pytorch-lightning | IgorSusmelj/pytorch-styleguide
streamlit/streamlit,streamlit-streamlit,Good,1,3,7,9,10,212,173.12,unit8co/darts,NannyML/nannyml,rio-labs/rio,gradio-app/gradio,probabl-ai/skore,unit8co/darts | NannyML/nannyml | rio-labs/rio | gradio-app/gradio | probabl-ai/skore
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,0,30,10,220,0.0,abdulfatir/twitter-sentiment-analysis,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,open-mmlab/mmocr,filipradenovic/cnnimageretrieval-pytorch,abdulfatir/twitter-sentiment-analysis | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr | filipradenovic/cnnimageretrieval-pytorch
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,0,1,4,25,10,210,135.32,kornia/kornia,stanfordnlp/stanza,unit8co/darts,huggingface/pytorch-pretrained-BigGAN,Cadene/pretrained-models.pytorch,kornia/kornia | stanfordnlp/stanza | unit8co/darts | huggingface/pytorch-pretrained-BigGAN | Cadene/pretrained-models.pytorch
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,11,10,230,0.0,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,binance/binance-skills-hub,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | binance/binance-skills-hub
apache/airflow,apache-airflow,Good,0,0,0,11,10,185,54.19,feast-dev/feast,dagster-io/dagster,abhishek-ch/around-dataengineering,san089/goodreads_etl_pipeline,elyra-ai/elyra,feast-dev/feast | dagster-io/dagster | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline | elyra-ai/elyra
bbfamily/abu,bbfamily-abu,Good,0,0,0,11,10,178,18.06,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,coding-kitties/investing-algorithm-framework,asavinov/intelligent-trading-bot,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | coding-kitties/investing-algorithm-framework | asavinov/intelligent-trading-bot
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,0,3,10,10,157,0.0,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,tensorflow/compression,tensorflow/model-optimization,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | tensorflow/compression | tensorflow/model-optimization
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,0,0,3,11,10,186,64.75,mdbloice/Augmentor,aleju/imgaug,aladdinpersson/Machine-Learning-Collection,tflearn/tflearn,annoviko/pyclustering,mdbloice/Augmentor | aleju/imgaug | aladdinpersson/Machine-Learning-Collection | tflearn/tflearn | annoviko/pyclustering
huggingface/datasets,huggingface-datasets,Good,0,0,0,8,10,211,54.19,katanaml/sparrow,yanshengjia/ml-road,jacobgil/pytorch-grad-cam,Lightning-AI/litgpt,IBM/unitxt,katanaml/sparrow | yanshengjia/ml-road | jacobgil/pytorch-grad-cam | Lightning-AI/litgpt | IBM/unitxt
huggingface/transformers,huggingface-transformers,Good,0,0,0,19,10,225,0.0,GradientHQ/parallax,hiyouga/EasyR1,speechbrain/speechbrain,Tencent/AngelSlim,OpenBMB/UltraRAG,GradientHQ/parallax | hiyouga/EasyR1 | speechbrain/speechbrain | Tencent/AngelSlim | OpenBMB/UltraRAG
jina-ai/serve,jina-ai-serve,Good,0,0,0,4,10,192,75.32,bentoml/BentoML,Netflix/metaflow,hongbo-miao/hongbomiao.com,DaoCloud/DaoCloud-docs,PrefectHQ/fastmcp,bentoml/BentoML | Netflix/metaflow | hongbo-miao/hongbomiao.com | DaoCloud/DaoCloud-docs | PrefectHQ/fastmcp
pytorch/pytorch,pytorch-pytorch,Good,0,0,0,28,10,193,0.0,chainer/chainer,norse/norse,pranftw/neograd,leptonai/leptonai,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,6,10,233,18.06,torchpipe/torchpipe,ELS-RD/transformer-deploy,curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,run-llama/llama_deploy,NVIDIA/TensorRT-LLM,torchpipe/torchpipe | ELS-RD/transformer-deploy | curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI | run-llama/llama_deploy | NVIDIA/TensorRT-LLM
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,21,10,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
serengil/deepface,serengil-deepface,Good,0,0,0,11,10,161,18.06,RangiLyu/nanodet,Lasagne/Lasagne,deepinsight/insightface,wujiyang/Face_Pytorch,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,RangiLyu/nanodet | Lasagne/Lasagne | deepinsight/insightface | wujiyang/Face_Pytorch | Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,0,26,10,206,0.0,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
