AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,abdulfatir/twitter-sentiment-analysis,False,854.78,True,0,1,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,GabrielDornelles/pytorch-ocr,False,825,True,0,1,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,frgfm/torch-cam,False,822.07,True,0,1,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)"
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,open-mmlab/mmocr,False,821.59,True,0,1,"OpenMMLab Text Detection, Recognition and Understanding Toolbox"
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,filipradenovic/cnnimageretrieval-pytorch,False,820.47,True,0,1,CNN Image Retrieval in PyTorch: Training and evaluating CNNs for Image Retrieval in PyTorch
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,kornia/kornia,False,907.58,True,174.74,4,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,902.85,True,194.54,4,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,unit8co/darts,False,894.9,True,194.54,5,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,keras-team/keras,True,890,True,307.61,8,Deep Learning for humans
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,google-deepmind/sonnet,False,856.76,True,174.74,4,TensorFlow-based neural network library
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,929.75,True,0,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,2,brokermr810/QuantDinger,False,846.87,True,0,1,"AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading"
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,3,quantsbin/Quantsbin,False,825,True,0,1,Quantitative Finance tools
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,4,Michalos88/Quant-Projects,False,768.75,True,0,1,Implementations of Leading Algorithms in Quantitative Finance 
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,5,binance/binance-skills-hub,False,728.82,True,0,1,Binance Skills Hub is an open skills marketplace that gives AI agents native access to crypto
apache/airflow,apache-airflow,1,dagster-io/dagster,False,920.95,True,225.77,1,"An orchestration platform for the development, production, and observation of data assets."
apache/airflow,apache-airflow,2,feast-dev/feast,False,884.13,True,0,1,The Open Source Feature Store for AI/ML
apache/airflow,apache-airflow,3,abhishek-ch/around-dataengineering,False,785.07,True,0,1,A Data Engineering & Machine Learning Knowledge Hub
apache/airflow,apache-airflow,4,Avaiga/taipy,False,782.62,True,150.51,1,Turns Data and AI algorithms into production-ready web applications in no time.
apache/airflow,apache-airflow,5,san089/goodreads_etl_pipeline,False,774.15,True,0,1,"An end-to-end GoodReads Data Pipeline for Building Data Lake, Data Warehouse and Analytics Platform."
bbfamily/abu,bbfamily-abu,1,zvtvz/zvt,False,908.25,True,0,1,modular quant framework.
bbfamily/abu,bbfamily-abu,2,shashankvemuri/Finance,False,907.84,True,0,1,"150+ quantitative finance Python programs to help you gather, manipulate, and analyze stock market data"
bbfamily/abu,bbfamily-abu,3,ranaroussi/quantstats,False,883.69,True,0,1,"Portfolio analytics for quants, written in Python"
bbfamily/abu,bbfamily-abu,4,coding-kitties/investing-algorithm-framework,False,846.05,True,0,1,"Framework for developing, backtesting, and deploying automated trading algorithms and trading bots."
bbfamily/abu,bbfamily-abu,5,asavinov/intelligent-trading-bot,False,823.44,True,75.26,1,Intelligent Trading Bot: Automatically generating signals and trading based on machine learning and feature engineering
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,1,InterDigitalInc/CompressAI,False,875.14,True,0,1,A PyTorch library and evaluation platform for end-to-end compression research
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,2,alibaba/EasyParallelLibrary,False,875,True,0,1,Easy Parallel Library (EPL) is a general and efficient deep learning framework for distributed model training.
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,3,qualcomm/aimet,False,797.88,True,0,1,AIMET is a library that provides advanced quantization and compression techniques for trained neural network models.
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,4,tensorflow/compression,False,771.5,True,0,1,Data compression in TensorFlow
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,5,tensorflow/model-optimization,False,762.3,True,0,1,"A toolkit to optimize ML models for deployment for Keras and TensorFlow, including quantization and pruning."
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,1,mdbloice/Augmentor,False,906.06,True,0,1,Image augmentation library in Python for machine learning.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,2,aleju/imgaug,False,840.85,True,0,1,Image augmentation for machine learning experiments.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,3,tflearn/tflearn,False,805.2,True,194.54,5,Deep learning library featuring a higher-level API for TensorFlow.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,4,unit8co/darts,False,779.9,True,194.54,5,A python library for user-friendly forecasting and anomaly detection on time series.
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,5,aladdinpersson/Machine-Learning-Collection,False,777.89,True,0,1,A resource for learning about Machine learning & Deep Learning
explosion/spaCy,explosion-spacy,1,stanfordnlp/stanza,False,839.97,True,194.54,4,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
explosion/spaCy,explosion-spacy,2,Lightning-AI/pytorch-lightning,True,758.3,True,313.82,8,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
explosion/spaCy,explosion-spacy,3,kornia/kornia,False,754.19,True,174.74,4,🐍 Geometric Computer Vision Library for Spatial AI
explosion/spaCy,explosion-spacy,4,google-deepmind/sonnet,False,753.88,True,174.74,4,TensorFlow-based neural network library
explosion/spaCy,explosion-spacy,5,keras-team/keras,True,667.88,True,307.61,8,Deep Learning for humans
gradio-app/gradio,gradio-app-gradio,1,streamlit/streamlit,True,803.14,True,307.61,5,Streamlit — A faster way to build and share data apps.
gradio-app/gradio,gradio-app-gradio,2,NannyML/nannyml,False,766,True,75.26,2,nannyml: post-deployment data science in python
gradio-app/gradio,gradio-app-gradio,3,unit8co/darts,False,734.68,True,194.54,5,A python library for user-friendly forecasting and anomaly detection on time series.
gradio-app/gradio,gradio-app-gradio,4,1adrianb/face-alignment,False,733.72,True,75.26,1,:fire: 2D and 3D Face alignment library build using pytorch 
gradio-app/gradio,gradio-app-gradio,5,nidhaloff/igel,False,693.62,True,75.26,2,"a delightful machine learning tool that allows you to train, test, and use models without writing code"
huggingface/datasets,huggingface-datasets,1,jacobgil/pytorch-grad-cam,False,804.2,True,75.26,2,"Advanced AI Explainability for computer vision.  Support for CNNs, Vision Transformers, Classification, Object detection, Segmentation, Image similarity and more."
huggingface/datasets,huggingface-datasets,2,katanaml/sparrow,False,802.52,True,0,1,"Structured data extraction and instruction calling with ML, LLM and Vision LLM"
huggingface/datasets,huggingface-datasets,3,Lightning-AI/litgpt,False,795.89,True,150.51,1,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale."
huggingface/datasets,huggingface-datasets,4,yanshengjia/ml-road,False,792.94,True,0,1,"Machine Learning and Agentic AI Resources, Practice and Research"
huggingface/datasets,huggingface-datasets,5,mlfoundations/open_clip,False,767.55,True,119.28,1,An open source implementation of CLIP.
huggingface/transformers,huggingface-transformers,1,GradientHQ/parallax,False,817.24,True,0,1,Parallax is a distributed model serving framework that lets you build your own AI cluster anywhere
huggingface/transformers,huggingface-transformers,2,hiyouga/EasyR1,False,799.28,True,0,1,"EasyR1: An Efficient, Scalable, Multi-Modality RL Training Framework based on veRL"
huggingface/transformers,huggingface-transformers,3,speechbrain/speechbrain,False,777.81,True,0,1,A PyTorch-based Speech Toolkit
huggingface/transformers,huggingface-transformers,4,Tencent/AngelSlim,False,766.67,True,0,1,"Model compression toolkit engineered for enhanced usability, comprehensiveness, and efficiency."
huggingface/transformers,huggingface-transformers,5,jessevig/bertviz,False,766,True,75.26,1,BertViz: Visualize Attention in Transformer Models
jina-ai/serve,jina-ai-serve,1,bentoml/BentoML,False,806.71,True,119.28,1,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!"
jina-ai/serve,jina-ai-serve,2,Netflix/metaflow,False,754.96,True,119.28,1,"Build, Manage and Deploy AI/ML Systems"
jina-ai/serve,jina-ai-serve,3,hongbo-miao/hongbomiao.com,False,711.63,True,0,1,A personal research and development (R&D) lab that facilitates the sharing of knowledge.
jina-ai/serve,jina-ai-serve,4,DaoCloud/DaoCloud-docs,False,702.86,True,0,1,DaoCloud Enterprise 5.0 Documentation
jina-ai/serve,jina-ai-serve,5,PrefectHQ/fastmcp,False,694.15,True,75.26,1,"🚀 The fast, Pythonic way to build MCP servers and clients."
onnx/onnx,onnx-onnx,1,google-deepmind/sonnet,False,829.1,True,174.74,4,TensorFlow-based neural network library
onnx/onnx,onnx-onnx,2,kornia/kornia,False,813.47,True,174.74,4,🐍 Geometric Computer Vision Library for Spatial AI
onnx/onnx,onnx-onnx,3,flwrlabs/flower,False,780.78,True,194.54,4,Flower: A Friendly Federated AI Framework
onnx/onnx,onnx-onnx,4,Lightning-AI/pytorch-lightning,True,745.98,True,313.82,8,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
onnx/onnx,onnx-onnx,5,stanfordnlp/stanza,False,732.53,True,194.54,4,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
