AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,1,1,4,30,10,210,209.23,kornia/kornia,stanfordnlp/stanza,unit8co/darts,keras-team/keras,google-deepmind/sonnet,kornia/kornia | stanfordnlp/stanza | unit8co/darts | keras-team/keras | google-deepmind/sonnet
gradio-app/gradio,gradio-app-gradio,Good,1,3,8,10,10,222,145.59,streamlit/streamlit,NannyML/nannyml,unit8co/darts,1adrianb/face-alignment,nidhaloff/igel,streamlit/streamlit | NannyML/nannyml | unit8co/darts | 1adrianb/face-alignment | nidhaloff/igel
onnx/onnx,onnx-onnx,Good,1,1,7,10,10,188,210.48,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,Lightning-AI/pytorch-lightning,stanfordnlp/stanza,google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | Lightning-AI/pytorch-lightning | stanfordnlp/stanza
recommenders-team/recommenders,recommenders-team-recommenders,Good,1,1,6,16,10,215,210.48,Lightning-AI/pytorch-lightning,unit8co/darts,kornia/kornia,google-deepmind/sonnet,stanfordnlp/stanza,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | google-deepmind/sonnet | stanfordnlp/stanza
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,0,30,10,220,0.0,abdulfatir/twitter-sentiment-analysis,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,open-mmlab/mmocr,filipradenovic/cnnimageretrieval-pytorch,abdulfatir/twitter-sentiment-analysis | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr | filipradenovic/cnnimageretrieval-pytorch
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,15,10,230,0.0,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,binance/binance-skills-hub,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | binance/binance-skills-hub
apache/airflow,apache-airflow,Good,0,0,0,18,10,185,75.26,dagster-io/dagster,feast-dev/feast,abhishek-ch/around-dataengineering,Avaiga/taipy,san089/goodreads_etl_pipeline,dagster-io/dagster | feast-dev/feast | abhishek-ch/around-dataengineering | Avaiga/taipy | san089/goodreads_etl_pipeline
bbfamily/abu,bbfamily-abu,Good,0,0,0,14,10,178,15.05,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,coding-kitties/investing-algorithm-framework,asavinov/intelligent-trading-bot,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | coding-kitties/investing-algorithm-framework | asavinov/intelligent-trading-bot
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,0,3,18,10,157,0.0,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,tensorflow/compression,tensorflow/model-optimization,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | tensorflow/compression | tensorflow/model-optimization
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,0,0,4,22,10,186,77.82,mdbloice/Augmentor,aleju/imgaug,tflearn/tflearn,unit8co/darts,aladdinpersson/Machine-Learning-Collection,mdbloice/Augmentor | aleju/imgaug | tflearn/tflearn | unit8co/darts | aladdinpersson/Machine-Learning-Collection
huggingface/datasets,huggingface-datasets,Good,0,0,0,25,10,211,69.01,jacobgil/pytorch-grad-cam,katanaml/sparrow,Lightning-AI/litgpt,yanshengjia/ml-road,mlfoundations/open_clip,jacobgil/pytorch-grad-cam | katanaml/sparrow | Lightning-AI/litgpt | yanshengjia/ml-road | mlfoundations/open_clip
huggingface/transformers,huggingface-transformers,Good,0,0,0,30,10,225,15.05,GradientHQ/parallax,hiyouga/EasyR1,speechbrain/speechbrain,Tencent/AngelSlim,jessevig/bertviz,GradientHQ/parallax | hiyouga/EasyR1 | speechbrain/speechbrain | Tencent/AngelSlim | jessevig/bertviz
jina-ai/serve,jina-ai-serve,Good,0,0,0,16,10,192,62.76,bentoml/BentoML,Netflix/metaflow,hongbo-miao/hongbomiao.com,DaoCloud/DaoCloud-docs,PrefectHQ/fastmcp,bentoml/BentoML | Netflix/metaflow | hongbo-miao/hongbomiao.com | DaoCloud/DaoCloud-docs | PrefectHQ/fastmcp
pytorch/pytorch,pytorch-pytorch,Good,0,0,0,30,10,193,0.0,chainer/chainer,norse/norse,pranftw/neograd,leptonai/leptonai,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
