AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,Lightning-AI/pytorch-lightning,True,903.88,True,69.04,12,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,keras-team/keras,True,867.32,True,67.67,12,Deep Learning for humans
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,Hironsan/BossSensor,False,858.49,True,16.56,1,Hide screen when boss is approaching.
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,abdulfatir/twitter-sentiment-analysis,False,854.76,True,0,1,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,roboflow/supervision,True,850.12,True,69.04,10,We write your reusable computer vision tools. 💜
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,keras-team/keras,True,1129.92,True,67.67,12,Deep Learning for humans
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,1054.55,True,42.8,5,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,unit8co/darts,False,1046.58,True,42.8,5,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,kornia/kornia,False,1043.87,True,38.44,4,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,streamlit/streamlit,True,1020.91,True,67.67,12,Streamlit — A faster way to build and share data apps.
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,929.76,True,0,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,2,brokermr810/QuantDinger,False,844.29,True,0,1,"AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading"
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,3,quantsbin/Quantsbin,False,825,True,0,1,Quantitative Finance tools
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,4,agno-agi/agno,False,817.99,True,49.67,1,"Build, run, and manage agent platforms."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,5,langchain-ai/deepagents,False,790.32,True,49.67,1,The batteries-included agent harness.
apache/airflow,apache-airflow,1,dagster-io/dagster,False,1097.05,True,49.67,1,"An orchestration platform for the development, production, and observation of data assets."
apache/airflow,apache-airflow,2,Avaiga/taipy,False,900.07,True,33.11,1,Turns Data and AI algorithms into production-ready web applications in no time.
apache/airflow,apache-airflow,3,feast-dev/feast,False,884.15,True,0,1,The Open Source Feature Store for AI/ML
apache/airflow,apache-airflow,4,kedro-org/kedro,False,802.36,True,26.24,1,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, an"
