AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
onnx/onnx,onnx-onnx,Good,1,3,9,30,10,188,50.99,Lightning-AI/pytorch-lightning,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,ultralytics/yolov5,Lightning-AI/pytorch-lightning | google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | ultralytics/yolov5
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,1,14,10,229,19.87,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,agno-agi/agno,langchain-ai/deepagents,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | agno-agi/agno | langchain-ai/deepagents
apache/airflow,apache-airflow,Good,0,0,1,15,10,185,25.12,dagster-io/dagster,Avaiga/taipy,feast-dev/feast,kedro-org/kedro,ansible/ansible,dagster-io/dagster | Avaiga/taipy | feast-dev/feast | kedro-org/kedro | ansible/ansible
bbfamily/abu,bbfamily-abu,Good,0,0,1,20,10,177,6.62,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,asavinov/intelligent-trading-bot,RomelTorres/alpha_vantage,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | RomelTorres/alpha_vantage
huggingface/datasets,huggingface-datasets,Good,0,0,1,30,10,211,42.97,Lightning-AI/litgpt,ludwig-ai/ludwig,rohitg00/ai-engineering-from-scratch,deeppavlov/DeepPavlov,arc53/DocsGPT,Lightning-AI/litgpt | ludwig-ai/ludwig | rohitg00/ai-engineering-from-scratch | deeppavlov/DeepPavlov | arc53/DocsGPT
huggingface/transformers,huggingface-transformers,Good,0,1,1,30,9,227,31.3,sgl-project/sglang,vllm-project/vllm,jessevig/bertviz,hiyouga/LlamaFactory,GradientHQ/parallax,sgl-project/sglang | vllm-project/vllm | jessevig/bertviz | hiyouga/LlamaFactory | GradientHQ/parallax
jina-ai/serve,jina-ai-serve,Good,0,0,1,30,10,192,41.6,bentoml/BentoML,Netflix/metaflow,rohitg00/ai-engineering-from-scratch,huggingface/datasets,langchain-ai/langgraph,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | huggingface/datasets | langchain-ai/langgraph
pytorch/pytorch,pytorch-pytorch,Good,0,2,9,30,10,193,0.0,chainer/chainer,norse/norse,leptonai/leptonai,pranftw/neograd,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,9,233,40.59,huggingface/datasets,google/langextract,ludwig-ai/ludwig,HKUDS/LightRAG,NVIDIA/TensorRT-LLM,huggingface/datasets | google/langextract | ludwig-ai/ludwig | HKUDS/LightRAG | NVIDIA/TensorRT-LLM
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,20,9,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
