AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,abdulfatir/twitter-sentiment-analysis,False,854.77,True,0,1,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,Hironsan/BossSensor,False,841.92,True,33.11,1,Hide screen when boss is approaching.
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,Lightning-AI/pytorch-lightning,True,834.85,True,138.08,11,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,GabrielDornelles/pytorch-ocr,False,825,True,0,1,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,frgfm/torch-cam,False,822.1,True,0,1,"Class activation maps for your PyTorch models (CAM, Grad-CAM, Grad-CAM++, Smooth Grad-CAM++, Score-CAM, SS-CAM, IS-CAM, XGrad-CAM, Layer-CAM)"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,keras-team/keras,True,1062.24,True,135.35,12,Deep Learning for humans
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,1011.77,True,85.6,5,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,kornia/kornia,False,1005.43,True,76.89,4,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,unit8co/darts,False,1003.81,True,85.6,5,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,google-deepmind/sonnet,False,954.62,True,76.89,4,TensorFlow-based neural network library
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,929.73,True,0,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,2,brokermr810/QuantDinger,False,844.94,True,0,1,"AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading"
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,3,quantsbin/Quantsbin,False,825,True,0,1,Quantitative Finance tools
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,4,Michalos88/Quant-Projects,False,768.75,True,0,1,Implementations of Leading Algorithms in Quantitative Finance 
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,5,agno-agi/agno,False,768.32,True,99.34,1,"Build, run, and manage agent platforms."
apache/airflow,apache-airflow,1,dagster-io/dagster,False,1047.38,True,99.34,1,"An orchestration platform for the development, production, and observation of data assets."
apache/airflow,apache-airflow,2,feast-dev/feast,False,884.14,True,0,1,The Open Source Feature Store for AI/ML
apache/airflow,apache-airflow,3,Avaiga/taipy,False,866.94,True,66.23,1,Turns Data and AI algorithms into production-ready web applications in no time.
apache/airflow,apache-airflow,4,abhishek-ch/around-dataengineering,False,785.07,True,0,1,A Data Engineering & Machine Learning Knowledge Hub
apache/airflow,apache-airflow,5,kedro-org/kedro,False,776.11,True,52.48,1,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, an"
bbfamily/abu,bbfamily-abu,1,zvtvz/zvt,False,908.32,True,0,1,modular quant framework.
bbfamily/abu,bbfamily-abu,2,shashankvemuri/Finance,False,907.81,True,0,1,"150+ quantitative finance Python programs to help you gather, manipulate, and analyze stock market data"
bbfamily/abu,bbfamily-abu,3,ranaroussi/quantstats,False,883.66,True,0,1,"Portfolio analytics for quants, written in Python"
bbfamily/abu,bbfamily-abu,4,asavinov/intelligent-trading-bot,False,865.63,True,33.11,1,Intelligent Trading Bot: Automatically generating signals and trading based on machine learning and feature engineering
bbfamily/abu,bbfamily-abu,5,coding-kitties/investing-algorithm-framework,False,845.74,True,0,1,"Framework for developing, backtesting, and deploying automated trading algorithms and trading bots."
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,1,InterDigitalInc/CompressAI,False,875.12,True,0,1,A PyTorch library and evaluation platform for end-to-end compression research
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,2,alibaba/EasyParallelLibrary,False,875,True,0,1,Easy Parallel Library (EPL) is a general and efficient deep learning framework for distributed model training.
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,3,hpcaitech/ColossalAI,False,863.75,True,135.35,2,"Making large AI models cheaper, faster and more accessible"
