AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,1,4,7,30,10,210,125.54,keras-team/keras,stanfordnlp/stanza,kornia/kornia,unit8co/darts,google-deepmind/sonnet,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,1,3,6,30,10,186,84.35,mdbloice/Augmentor,tflearn/tflearn,unit8co/darts,aleju/imgaug,Lightning-AI/pytorch-lightning,mdbloice/Augmentor | tflearn/tflearn | unit8co/darts | aleju/imgaug | Lightning-AI/pytorch-lightning
onnx/onnx,onnx-onnx,Good,1,2,8,30,10,188,126.29,google-deepmind/sonnet,kornia/kornia,Lightning-AI/pytorch-lightning,flwrlabs/flower,stanfordnlp/stanza,google-deepmind/sonnet | kornia/kornia | Lightning-AI/pytorch-lightning | flwrlabs/flower | stanfordnlp/stanza
recommenders-team/recommenders,recommenders-team-recommenders,Good,1,2,8,30,10,215,126.29,Lightning-AI/pytorch-lightning,unit8co/darts,kornia/kornia,google-deepmind/sonnet,stanfordnlp/stanza,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | google-deepmind/sonnet | stanfordnlp/stanza
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,2,30,10,220,9.03,abdulfatir/twitter-sentiment-analysis,Hironsan/BossSensor,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,open-mmlab/mmocr,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,26,10,229,27.09,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,agno-agi/agno,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
apache/airflow,apache-airflow,Good,0,0,0,24,10,185,45.15,dagster-io/dagster,feast-dev/feast,Avaiga/taipy,abhishek-ch/around-dataengineering,san089/goodreads_etl_pipeline,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline
bbfamily/abu,bbfamily-abu,Good,0,0,1,25,10,178,9.03,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,asavinov/intelligent-trading-bot,coding-kitties/investing-algorithm-framework,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,1,8,30,10,157,36.91,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,hpcaitech/ColossalAI,qualcomm/aimet,tensorflow/compression,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | hpcaitech/ColossalAI | qualcomm/aimet | tensorflow/compression
huggingface/datasets,huggingface-datasets,Good,0,0,1,30,10,210,90.1,Lightning-AI/litgpt,jacobgil/pytorch-grad-cam,rohitg00/ai-engineering-from-scratch,mlfoundations/open_clip,ludwig-ai/ludwig,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | rohitg00/ai-engineering-from-scratch | mlfoundations/open_clip | ludwig-ai/ludwig
