AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
onnx/onnx,onnx-onnx,Good,1,3,9,30,10,187,27.81,Lightning-AI/pytorch-lightning,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,ultralytics/yolov5,Lightning-AI/pytorch-lightning | google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | ultralytics/yolov5
apache/airflow,apache-airflow,Good,0,0,2,15,10,185,13.7,dagster-io/dagster,Avaiga/taipy,feast-dev/feast,kedro-org/kedro,ansible/ansible,dagster-io/dagster | Avaiga/taipy | feast-dev/feast | kedro-org/kedro | ansible/ansible
bbfamily/abu,bbfamily-abu,Good,0,0,2,20,10,177,6.88,zvtvz/zvt,shashankvemuri/Finance,asavinov/intelligent-trading-bot,ranaroussi/quantstats,mwaskom/seaborn,zvtvz/zvt | shashankvemuri/Finance | asavinov/intelligent-trading-bot | ranaroussi/quantstats | mwaskom/seaborn
huggingface/datasets,huggingface-datasets,Good,0,1,1,30,10,211,23.44,Lightning-AI/litgpt,ludwig-ai/ludwig,rohitg00/ai-engineering-from-scratch,arc53/DocsGPT,deeppavlov/DeepPavlov,Lightning-AI/litgpt | ludwig-ai/ludwig | rohitg00/ai-engineering-from-scratch | arc53/DocsGPT | deeppavlov/DeepPavlov
huggingface/transformers,huggingface-transformers,Good,0,1,1,30,10,227,22.49,sgl-project/sglang,vllm-project/vllm,hiyouga/LlamaFactory,arc53/DocsGPT,jessevig/bertviz,sgl-project/sglang | vllm-project/vllm | hiyouga/LlamaFactory | arc53/DocsGPT | jessevig/bertviz
jina-ai/serve,jina-ai-serve,Good,0,0,1,30,10,192,23.74,bentoml/BentoML,Netflix/metaflow,huggingface/datasets,rohitg00/ai-engineering-from-scratch,lukas-blecher/LaTeX-OCR,bentoml/BentoML | Netflix/metaflow | huggingface/datasets | rohitg00/ai-engineering-from-scratch | lukas-blecher/LaTeX-OCR
pytorch/pytorch,pytorch-pytorch,Good,0,4,10,30,10,192,0.0,chainer/chainer,norse/norse,leptonai/leptonai,pranftw/neograd,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,9,233,26.81,huggingface/datasets,google/langextract,ludwig-ai/ludwig,lukas-blecher/LaTeX-OCR,HKUDS/LightRAG,huggingface/datasets | google/langextract | ludwig-ai/ludwig | lukas-blecher/LaTeX-OCR | HKUDS/LightRAG
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,1,20,9,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
ultralytics/yolov5,ultralytics-yolov5,Good,0,3,8,30,10,205,6.88,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,onnx/onnx,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | onnx/onnx
