AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,1,1,4,30,10,221,34.24,abdulfatir/twitter-sentiment-analysis,Hironsan/BossSensor,Lightning-AI/pytorch-lightning,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,abdulfatir/twitter-sentiment-analysis | Hironsan/BossSensor | Lightning-AI/pytorch-lightning | GabrielDornelles/pytorch-ocr | frgfm/torch-cam
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,1,4,8,30,10,210,92.07,keras-team/keras,stanfordnlp/stanza,kornia/kornia,unit8co/darts,google-deepmind/sonnet,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,1,3,9,29,9,157,54.69,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,hpcaitech/ColossalAI,qualcomm/aimet,Lightning-AI/pytorch-lightning,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | hpcaitech/ColossalAI | qualcomm/aimet | Lightning-AI/pytorch-lightning
onnx/onnx,onnx-onnx,Good,1,3,9,30,10,188,92.61,google-deepmind/sonnet,Lightning-AI/pytorch-lightning,kornia/kornia,flwrlabs/flower,stanfordnlp/stanza,google-deepmind/sonnet | Lightning-AI/pytorch-lightning | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
serengil/deepface,serengil-deepface,Good,1,3,10,29,10,161,47.48,deepinsight/insightface,Zeyi-Lin/HivisionIDPhotos,RangiLyu/nanodet,Lightning-AI/pytorch-lightning,Lasagne/Lasagne,deepinsight/insightface | Zeyi-Lin/HivisionIDPhotos | RangiLyu/nanodet | Lightning-AI/pytorch-lightning | Lasagne/Lasagne
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,13,10,229,19.87,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,agno-agi/agno,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | agno-agi/agno
apache/airflow,apache-airflow,Good,0,0,0,14,10,185,43.61,dagster-io/dagster,feast-dev/feast,Avaiga/taipy,abhishek-ch/around-dataengineering,kedro-org/kedro,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | kedro-org/kedro
bbfamily/abu,bbfamily-abu,Good,0,0,1,15,10,177,6.62,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,asavinov/intelligent-trading-bot,coding-kitties/investing-algorithm-framework,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
huggingface/datasets,huggingface-datasets,Good,0,0,1,30,10,211,66.08,Lightning-AI/litgpt,jacobgil/pytorch-grad-cam,rohitg00/ai-engineering-from-scratch,ludwig-ai/ludwig,mlfoundations/open_clip,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | rohitg00/ai-engineering-from-scratch | ludwig-ai/ludwig | mlfoundations/open_clip
huggingface/transformers,huggingface-transformers,Good,0,0,1,30,9,226,40.59,GradientHQ/parallax,jessevig/bertviz,sgl-project/sglang,hiyouga/EasyR1,vllm-project/vllm,GradientHQ/parallax | jessevig/bertviz | sgl-project/sglang | hiyouga/EasyR1 | vllm-project/vllm
jina-ai/serve,jina-ai-serve,Good,0,0,0,25,10,192,51.36,bentoml/BentoML,Netflix/metaflow,rohitg00/ai-engineering-from-scratch,PrefectHQ/fastmcp,agentscope-ai/agentscope,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
pytorch/pytorch,pytorch-pytorch,Good,0,0,7,30,10,193,0.0,chainer/chainer,norse/norse,leptonai/leptonai,pranftw/neograd,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,10,233,47.21,google/langextract,NVIDIA/TensorRT-LLM,torchpipe/torchpipe,ELS-RD/transformer-deploy,huggingface/datasets,google/langextract | NVIDIA/TensorRT-LLM | torchpipe/torchpipe | ELS-RD/transformer-deploy | huggingface/datasets
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,20,9,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,4,30,10,206,0.0,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,OK,2,3,8,30,10,186,88.93,tflearn/tflearn,mdbloice/Augmentor,unit8co/darts,Lightning-AI/pytorch-lightning,streamlit/streamlit,tflearn/tflearn | mdbloice/Augmentor | unit8co/darts | Lightning-AI/pytorch-lightning | streamlit/streamlit
explosion/spaCy,explosion-spacy,OK,2,5,11,26,10,193,102.56,stanfordnlp/stanza,Lightning-AI/pytorch-lightning,kornia/kornia,google-deepmind/sonnet,keras-team/keras,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
recommenders-team/recommenders,recommenders-team-recommenders,OK,2,2,9,28,10,215,103.11,Lightning-AI/pytorch-lightning,unit8co/darts,kornia/kornia,explosion/spaCy,google-deepmind/sonnet,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | explosion/spaCy | google-deepmind/sonnet
gradio-app/gradio,gradio-app-gradio,Weak,3,5,11,28,10,222,105.5,streamlit/streamlit,unit8co/darts,Lightning-AI/pytorch-lightning,keras-team/keras,NannyML/nannyml,streamlit/streamlit | unit8co/darts | Lightning-AI/pytorch-lightning | keras-team/keras | NannyML/nannyml
