AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,1,2,5,30,10,210,167.39,keras-team/keras,kornia/kornia,stanfordnlp/stanza,unit8co/darts,google-deepmind/sonnet,keras-team/keras | kornia/kornia | stanfordnlp/stanza | unit8co/darts | google-deepmind/sonnet
onnx/onnx,onnx-onnx,Good,1,1,8,30,9,188,168.38,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,Lightning-AI/pytorch-lightning,stanfordnlp/stanza,google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | Lightning-AI/pytorch-lightning | stanfordnlp/stanza
recommenders-team/recommenders,recommenders-team-recommenders,Good,1,1,7,29,10,215,168.38,Lightning-AI/pytorch-lightning,unit8co/darts,kornia/kornia,google-deepmind/sonnet,stanfordnlp/stanza,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | google-deepmind/sonnet | stanfordnlp/stanza
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,0,30,10,221,0.0,abdulfatir/twitter-sentiment-analysis,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,open-mmlab/mmocr,filipradenovic/cnnimageretrieval-pytorch,abdulfatir/twitter-sentiment-analysis | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr | filipradenovic/cnnimageretrieval-pytorch
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,25,10,229,0.0,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,binance/binance-skills-hub,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | binance/binance-skills-hub
apache/airflow,apache-airflow,Good,0,0,0,24,10,185,60.21,dagster-io/dagster,feast-dev/feast,Avaiga/taipy,abhishek-ch/around-dataengineering,san089/goodreads_etl_pipeline,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline
bbfamily/abu,bbfamily-abu,Good,0,0,1,22,10,177,12.04,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,coding-kitties/investing-algorithm-framework,asavinov/intelligent-trading-bot,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | coding-kitties/investing-algorithm-framework | asavinov/intelligent-trading-bot
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,0,5,30,10,157,0.0,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,tensorflow/compression,DuaneNielsen/DeepInfomaxPytorch,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | tensorflow/compression | DuaneNielsen/DeepInfomaxPytorch
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,0,1,5,30,10,186,74.29,mdbloice/Augmentor,tflearn/tflearn,aleju/imgaug,unit8co/darts,annoviko/pyclustering,mdbloice/Augmentor | tflearn/tflearn | aleju/imgaug | unit8co/darts | annoviko/pyclustering
huggingface/datasets,huggingface-datasets,Good,0,0,0,30,10,211,55.21,Lightning-AI/litgpt,jacobgil/pytorch-grad-cam,katanaml/sparrow,yanshengjia/ml-road,mlfoundations/open_clip,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | katanaml/sparrow | yanshengjia/ml-road | mlfoundations/open_clip
huggingface/transformers,huggingface-transformers,Good,0,0,0,30,10,226,12.04,GradientHQ/parallax,hiyouga/EasyR1,jessevig/bertviz,speechbrain/speechbrain,Tencent/AngelSlim,GradientHQ/parallax | hiyouga/EasyR1 | jessevig/bertviz | speechbrain/speechbrain | Tencent/AngelSlim
jina-ai/serve,jina-ai-serve,Good,0,0,0,30,10,192,62.25,bentoml/BentoML,Netflix/metaflow,hongbo-miao/hongbomiao.com,PrefectHQ/fastmcp,agentscope-ai/agentscope,bentoml/BentoML | Netflix/metaflow | hongbo-miao/hongbomiao.com | PrefectHQ/fastmcp | agentscope-ai/agentscope
pytorch/pytorch,pytorch-pytorch,Good,0,0,3,30,10,193,0.0,chainer/chainer,norse/norse,leptonai/leptonai,pranftw/neograd,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,10,233,24.08,torchpipe/torchpipe,ELS-RD/transformer-deploy,curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI,NVIDIA/TensorRT-LLM,microsoft/LoRA,torchpipe/torchpipe | ELS-RD/transformer-deploy | curiousily/Deploy-BERT-for-Sentiment-Analysis-with-FastAPI | NVIDIA/TensorRT-LLM | microsoft/LoRA
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,30,10,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
serengil/deepface,serengil-deepface,Good,0,0,2,30,10,161,12.04,deepinsight/insightface,RangiLyu/nanodet,Lasagne/Lasagne,wujiyang/Face_Pytorch,Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB,deepinsight/insightface | RangiLyu/nanodet | Lasagne/Lasagne | wujiyang/Face_Pytorch | Linzaer/Ultra-Light-Fast-Generic-Face-Detector-1MB
ultralytics/yolov5,ultralytics-yolov5,Good,0,0,0,30,10,206,0.0,Megvii-BaseDetection/YOLOX,WangQvQ/YOLOMagic,tinyvision/DAMO-YOLO,ayooshkathuria/pytorch-yolo-v3,open-mmlab/mmyolo,Megvii-BaseDetection/YOLOX | WangQvQ/YOLOMagic | tinyvision/DAMO-YOLO | ayooshkathuria/pytorch-yolo-v3 | open-mmlab/mmyolo
explosion/spaCy,explosion-spacy,OK,2,4,11,24,10,193,186.47,stanfordnlp/stanza,Lightning-AI/pytorch-lightning,kornia/kornia,google-deepmind/sonnet,keras-team/keras,stanfordnlp/stanza | Lightning-AI/pytorch-lightning | kornia/kornia | google-deepmind/sonnet | keras-team/keras
gradio-app/gradio,gradio-app-gradio,OK,2,3,10,30,10,222,154.64,streamlit/streamlit,NannyML/nannyml,unit8co/darts,1adrianb/face-alignment,Lightning-AI/pytorch-lightning,streamlit/streamlit | NannyML/nannyml | unit8co/darts | 1adrianb/face-alignment | Lightning-AI/pytorch-lightning
streamlit/streamlit,streamlit-streamlit,Weak,3,3,9,30,10,212,190.76,unit8co/darts,gradio-app/gradio,Lightning-AI/pytorch-lightning,NannyML/nannyml,keras-team/keras,unit8co/darts | gradio-app/gradio | Lightning-AI/pytorch-lightning | NannyML/nannyml | keras-team/keras
