AnchorRepo,AnchorUrl,CandidateRepo,CandidateUrl,CandidateOwner,CandidateLanguage,CandidateStars,CandidateSubdomain,Score,ScoreBase,PenaltyCrossAnchorFreq,PenaltyRetrieval,PenaltyNotes,Qualified,TopicJaccard,LexicalJaccard,LanguageMatch,StarSimilarity,RecencySimilarity,SubdomainMatch,QueryCoverage,TopSignals,ScoreBreakdownJson,WhyQualified,SourceQueries,Description,Rank,_anchor_folder,_anchor
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Lightning-AI,Python,31153,deep-learning,903.88,972.92,69.04,50,QueryCoverage excluded from Score (recommended).,True,0.2222,0,1,0.9881,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":200.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.92,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":972.92,""ScoreFinal"":903.88}",Score>=MinimumScore,topic:deep-learning stars:>=100,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",1,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,keras-team/keras,https://github.com/keras-team/keras,keras-team,Python,64075,deep-learning,867.31,934.99,67.67,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.8315,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":145.52,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":934.99,""ScoreFinal"":867.31}",Score>=MinimumScore,topic:deep-learning stars:>=100,Deep Learning for humans,2,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,Hironsan/BossSensor,https://github.com/Hironsan/BossSensor,Hironsan,Python,6280,deep-learning,858.49,875.05,16.56,50,QueryCoverage excluded from Score (recommended).,True,0.1765,0,1,0.6641,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":158.82,""Lexical"":0.0,""Lang"":250.0,""Stars"":116.23,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":16.56,""ScoreBase"":875.05,""ScoreFinal"":858.49}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,Hide screen when boss is approaching.,3,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,abdulfatir/twitter-sentiment-analysis,https://github.com/abdulfatir/twitter-sentiment-analysis,abdulfatir,Python,1643,deep-learning,854.76,854.76,0,50,QueryCoverage excluded from Score (recommended).,True,0.2105,0,1,0.3731,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":189.47,""Lexical"":0.0,""Lang"":250.0,""Stars"":65.29,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":854.76,""ScoreFinal"":854.76}",Score>=MinimumScore,topic:cnn language:Python stars:>=50,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc.",4,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,roboflow/supervision,https://github.com/roboflow/supervision,roboflow,Python,39422,deep-learning,850.11,919.15,69.04,50,QueryCoverage excluded from Score (recommended).,True,0.1724,0,1,0.937,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":155.17,""Lexical"":0.0,""Lang"":250.0,""Stars"":163.97,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":69.04,""ScoreBase"":919.15,""ScoreFinal"":850.11}",Score>=MinimumScore,topic:deep-learning stars:>=100,We write your reusable computer vision tools. 💜,5,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,eriklindernoren/ML-From-Scratch,https://github.com/eriklindernoren/ML-From-Scratch,eriklindernoren,Python,31513,deep-learning,848.36,914.59,66.23,100,QueryCoverage excluded from Score (recommended).,True,0.1579,0,1,0.9856,1,1,0.6667,Lang+Subdomain+Stars,"{""Topic"":142.11,""Lexical"":0.0,""Lang"":250.0,""Stars"":172.48,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":66.23,""ScoreBase"":914.59,""ScoreFinal"":848.36}",Score>=MinimumScore,topic:data-mining language:Python stars:>=50 | topic:deep-learning stars:>=100,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,6,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,piskvorky/gensim,https://github.com/piskvorky/gensim,piskvorky,Python,16414,deep-learning,838.71,891.19,52.48,50,QueryCoverage excluded from Score (recommended).,True,0.1538,0,1,0.8728,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":138.46,""Lexical"":0.0,""Lang"":250.0,""Stars"":152.73,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":52.48,""ScoreBase"":891.19,""ScoreFinal"":838.71}",Score>=MinimumScore,topic:data-mining language:Python stars:>=50,Topic Modelling for Humans,7,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,CorentinJ,Python,59763,deep-learning,830.49,898.16,67.67,50,QueryCoverage excluded from Score (recommended).,True,0.1667,0,1,0.8466,1,1,0.3333,Lang+Subdomain+Topic,"{""Topic"":150.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":148.16,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":898.16,""ScoreFinal"":830.49}",Score>=MinimumScore,topic:deep-learning stars:>=100,Clone a voice in 5 seconds to generate arbitrary speech in real-time,8,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,streamlit/streamlit,https://github.com/streamlit/streamlit,streamlit,Python,44671,deep-learning,826.55,894.22,67.67,50,QueryCoverage excluded from Score (recommended).,True,0.15,0,1,0.9098,1,1,0.3333,Lang+Subdomain+Stars,"{""Topic"":135.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":159.22,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":67.67,""ScoreBase"":894.22,""ScoreFinal"":826.55}",Score>=MinimumScore,topic:deep-learning stars:>=100,Streamlit — A faster way to build and share data apps.,9,JaidedAI-EasyOCR,JaidedAI/EasyOCR
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,GabrielDornelles/pytorch-ocr,https://github.com/GabrielDornelles/pytorch-ocr,GabrielDornelles,Python,87,deep-learning,825,825,0,50,QueryCoverage excluded from Score (recommended).,True,0.25,0,1,0,1,1,0.3333,Lang+Topic+Subdomain,"{""Topic"":225.0,""Lexical"":0.0,""Lang"":250.0,""Stars"":0.0,""Recency"":125.0,""Subdomain"":225.0,""Retrieval"":0.0,""PenaltyCrossAnchorFreq"":0.0,""ScoreBase"":825.0,""ScoreFinal"":825.0}",Score>=MinimumScore,topic:crnn language:Python stars:>=50,"Simple Pytorch framework to train OCRs. Supports CRNNs, Attention, CTC and Cross Entropy Loss.",10,JaidedAI-EasyOCR,JaidedAI/EasyOCR
