AnchorRepo,_anchor_folder,Rank,CandidateRepo,IsMagnet,Score,Qualified,PenaltyCrossAnchorFreq,FrequencyInFinal30AcrossAnchors,Description
JaidedAI/EasyOCR,JaidedAI-EasyOCR,1,Lightning-AI/pytorch-lightning,True,878.77,True,94.15,10,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,2,abdulfatir/twitter-sentiment-analysis,False,854.76,True,0,1,"Sentiment analysis on tweets using Naive Bayes, SVM, CNN, LSTM, etc."
JaidedAI/EasyOCR,JaidedAI-EasyOCR,3,Hironsan/BossSensor,False,852.47,True,22.58,1,Hide screen when boss is approaching.
JaidedAI/EasyOCR,JaidedAI-EasyOCR,4,keras-team/keras,True,842.71,True,92.28,10,Deep Learning for humans
JaidedAI/EasyOCR,JaidedAI-EasyOCR,5,roboflow/supervision,True,825.01,True,94.15,8,We write your reusable computer vision tools. 💜
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,1,keras-team/keras,True,1105.31,True,92.28,10,Deep Learning for humans
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,2,stanfordnlp/stanza,False,1038.99,True,58.36,5,"Stanford NLP Python library for tokenization, sentence segmentation, NER, and parsing of many human languages"
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,3,unit8co/darts,False,1031.02,True,58.36,4,A python library for user-friendly forecasting and anomaly detection on time series.
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,4,kornia/kornia,False,1029.89,True,52.42,4,🐍 Geometric Computer Vision Library for Spatial AI
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,5,streamlit/streamlit,True,996.3,True,92.28,11,Streamlit — A faster way to build and share data apps.
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,1,ValueCell-ai/valuecell,False,929.76,True,0,1,"ValueCell is a community-driven, multi-agent platform for financial applications."
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,2,brokermr810/QuantDinger,False,844.35,True,0,1,"AI quantitative trading platform for crypto, stocks, and forex with backtesting, live trading, market data, and multi-agent research.vibe-trading ,trading-agents,ai-trader,ai-trading"
