AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
onnx/onnx,onnx-onnx,Good,1,3,9,30,10,188,63.14,Lightning-AI/pytorch-lightning,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,stanfordnlp/stanza,Lightning-AI/pytorch-lightning | google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | stanfordnlp/stanza
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,1,14,10,229,27.09,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,agno-agi/agno,langchain-ai/deepagents,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | agno-agi/agno | langchain-ai/deepagents
apache/airflow,apache-airflow,Good,0,0,1,15,10,185,29.73,dagster-io/dagster,Avaiga/taipy,feast-dev/feast,kedro-org/kedro,abhishek-ch/around-dataengineering,dagster-io/dagster | Avaiga/taipy | feast-dev/feast | kedro-org/kedro | abhishek-ch/around-dataengineering
bbfamily/abu,bbfamily-abu,Good,0,0,1,18,10,177,9.03,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,asavinov/intelligent-trading-bot,RomelTorres/alpha_vantage,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | RomelTorres/alpha_vantage
huggingface/datasets,huggingface-datasets,Good,0,0,1,30,10,211,49.57,Lightning-AI/litgpt,rohitg00/ai-engineering-from-scratch,ludwig-ai/ludwig,jacobgil/pytorch-grad-cam,deeppavlov/DeepPavlov,Lightning-AI/litgpt | rohitg00/ai-engineering-from-scratch | ludwig-ai/ludwig | jacobgil/pytorch-grad-cam | deeppavlov/DeepPavlov
huggingface/transformers,huggingface-transformers,Good,0,0,1,30,9,227,34.83,sgl-project/sglang,jessevig/bertviz,vllm-project/vllm,GradientHQ/parallax,jadore801120/attention-is-all-you-need-pytorch,sgl-project/sglang | jessevig/bertviz | vllm-project/vllm | GradientHQ/parallax | jadore801120/attention-is-all-you-need-pytorch
jina-ai/serve,jina-ai-serve,Good,0,0,0,30,10,192,35.02,bentoml/BentoML,Netflix/metaflow,rohitg00/ai-engineering-from-scratch,PrefectHQ/fastmcp,agentscope-ai/agentscope,bentoml/BentoML | Netflix/metaflow | rohitg00/ai-engineering-from-scratch | PrefectHQ/fastmcp | agentscope-ai/agentscope
pytorch/pytorch,pytorch-pytorch,Good,0,2,8,30,10,193,0.0,chainer/chainer,norse/norse,leptonai/leptonai,pranftw/neograd,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | leptonai/leptonai | pranftw/neograd | oreilly-japan/deep-learning-from-scratch-3
ray-project/ray,ray-project-ray,Good,0,0,0,30,10,233,55.35,google/langextract,huggingface/datasets,ludwig-ai/ludwig,NVIDIA/TensorRT-LLM,HKUDS/LightRAG,google/langextract | huggingface/datasets | ludwig-ai/ludwig | NVIDIA/TensorRT-LLM | HKUDS/LightRAG
sebastianruder/NLP-progress,sebastianruder-NLP-progress,Good,0,0,0,20,9,226,0.0,nltk/nltk,jasonwu0731/trade-dst,hankcs/HanLP,budzianowski/multiwoz,Maluuba/nlg-eval,nltk/nltk | jasonwu0731/trade-dst | hankcs/HanLP | budzianowski/multiwoz | Maluuba/nlg-eval
