AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,1,2,6,30,10,210,146.47,keras-team/keras,stanfordnlp/stanza,kornia/kornia,unit8co/darts,google-deepmind/sonnet,keras-team/keras | stanfordnlp/stanza | kornia/kornia | unit8co/darts | google-deepmind/sonnet
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,1,1,6,30,10,186,98.41,mdbloice/Augmentor,tflearn/tflearn,aleju/imgaug,unit8co/darts,Lightning-AI/pytorch-lightning,mdbloice/Augmentor | tflearn/tflearn | aleju/imgaug | unit8co/darts | Lightning-AI/pytorch-lightning
onnx/onnx,onnx-onnx,Good,1,2,8,30,9,188,147.33,google-deepmind/sonnet,kornia/kornia,Lightning-AI/pytorch-lightning,flwrlabs/flower,stanfordnlp/stanza,google-deepmind/sonnet | kornia/kornia | Lightning-AI/pytorch-lightning | flwrlabs/flower | stanfordnlp/stanza
recommenders-team/recommenders,recommenders-team-recommenders,Good,1,2,8,30,10,215,147.33,Lightning-AI/pytorch-lightning,unit8co/darts,kornia/kornia,google-deepmind/sonnet,stanfordnlp/stanza,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | google-deepmind/sonnet | stanfordnlp/stanza
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,1,30,10,220,10.54,abdulfatir/twitter-sentiment-analysis,GabrielDornelles/pytorch-ocr,Hironsan/BossSensor,frgfm/torch-cam,open-mmlab/mmocr,abdulfatir/twitter-sentiment-analysis | GabrielDornelles/pytorch-ocr | Hironsan/BossSensor | frgfm/torch-cam | open-mmlab/mmocr
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,25,10,229,0.0,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,binance/binance-skills-hub,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | binance/binance-skills-hub
apache/airflow,apache-airflow,Good,0,0,0,24,10,185,52.68,dagster-io/dagster,feast-dev/feast,Avaiga/taipy,abhishek-ch/around-dataengineering,san089/goodreads_etl_pipeline,dagster-io/dagster | feast-dev/feast | Avaiga/taipy | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline
bbfamily/abu,bbfamily-abu,Good,0,0,1,25,10,178,10.54,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,asavinov/intelligent-trading-bot,coding-kitties/investing-algorithm-framework,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | asavinov/intelligent-trading-bot | coding-kitties/investing-algorithm-framework
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,0,6,30,10,157,43.07,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,hpcaitech/ColossalAI,tensorflow/compression,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | hpcaitech/ColossalAI | tensorflow/compression
huggingface/datasets,huggingface-datasets,Good,0,0,0,30,10,210,77.89,Lightning-AI/litgpt,jacobgil/pytorch-grad-cam,mlfoundations/open_clip,katanaml/sparrow,rohitg00/ai-engineering-from-scratch,Lightning-AI/litgpt | jacobgil/pytorch-grad-cam | mlfoundations/open_clip | katanaml/sparrow | rohitg00/ai-engineering-from-scratch
