AnchorRepo,_anchor_folder,Rating,MagnetsInTop5,MagnetsInTop10,MagnetsInFinal30,QualifiedInFinal30,OverlapFinal10VsRanked10,RankedPoolSize,AvgPenaltyCrossAnchorTop5,Top1_CandidateRepo,Top2_CandidateRepo,Top3_CandidateRepo,Top4_CandidateRepo,Top5_CandidateRepo,Top5_Candidates
Lightning-AI/pytorch-lightning,Lightning-AI-pytorch-lightning,Good,1,1,4,30,10,210,230.16,kornia/kornia,stanfordnlp/stanza,unit8co/darts,keras-team/keras,google-deepmind/sonnet,kornia/kornia | stanfordnlp/stanza | unit8co/darts | keras-team/keras | google-deepmind/sonnet
explosion/spaCy,explosion-spacy,Good,1,3,8,4,10,193,231.52,stanfordnlp/stanza,kornia/kornia,google-deepmind/sonnet,Lightning-AI/pytorch-lightning,flwrlabs/flower,stanfordnlp/stanza | kornia/kornia | google-deepmind/sonnet | Lightning-AI/pytorch-lightning | flwrlabs/flower
gradio-app/gradio,gradio-app-gradio,Good,1,3,8,4,10,222,160.14,streamlit/streamlit,NannyML/nannyml,1adrianb/face-alignment,unit8co/darts,nidhaloff/igel,streamlit/streamlit | NannyML/nannyml | 1adrianb/face-alignment | unit8co/darts | nidhaloff/igel
onnx/onnx,onnx-onnx,Good,1,1,4,5,10,188,231.52,google-deepmind/sonnet,kornia/kornia,flwrlabs/flower,Lightning-AI/pytorch-lightning,stanfordnlp/stanza,google-deepmind/sonnet | kornia/kornia | flwrlabs/flower | Lightning-AI/pytorch-lightning | stanfordnlp/stanza
recommenders-team/recommenders,recommenders-team-recommenders,Good,1,1,6,3,10,215,188.73,Lightning-AI/pytorch-lightning,unit8co/darts,kornia/kornia,google-deepmind/sonnet,ShoufaChen/DiffusionDet,Lightning-AI/pytorch-lightning | unit8co/darts | kornia/kornia | google-deepmind/sonnet | ShoufaChen/DiffusionDet
streamlit/streamlit,streamlit-streamlit,Good,1,3,8,10,10,212,158.69,unit8co/darts,NannyML/nannyml,rio-labs/rio,gradio-app/gradio,probabl-ai/skore,unit8co/darts | NannyML/nannyml | rio-labs/rio | gradio-app/gradio | probabl-ai/skore
JaidedAI/EasyOCR,JaidedAI-EasyOCR,Good,0,0,0,30,10,220,0.0,abdulfatir/twitter-sentiment-analysis,GabrielDornelles/pytorch-ocr,frgfm/torch-cam,open-mmlab/mmocr,filipradenovic/cnnimageretrieval-pytorch,abdulfatir/twitter-sentiment-analysis | GabrielDornelles/pytorch-ocr | frgfm/torch-cam | open-mmlab/mmocr | filipradenovic/cnnimageretrieval-pytorch
OpenBB-finance/OpenBB,OpenBB-finance-OpenBB,Good,0,0,0,11,10,230,0.0,ValueCell-ai/valuecell,brokermr810/QuantDinger,quantsbin/Quantsbin,Michalos88/Quant-Projects,binance/binance-skills-hub,ValueCell-ai/valuecell | brokermr810/QuantDinger | quantsbin/Quantsbin | Michalos88/Quant-Projects | binance/binance-skills-hub
apache/airflow,apache-airflow,Good,0,0,0,11,10,185,82.78,dagster-io/dagster,feast-dev/feast,abhishek-ch/around-dataengineering,san089/goodreads_etl_pipeline,Avaiga/taipy,dagster-io/dagster | feast-dev/feast | abhishek-ch/around-dataengineering | san089/goodreads_etl_pipeline | Avaiga/taipy
bbfamily/abu,bbfamily-abu,Good,0,0,0,12,10,178,16.56,zvtvz/zvt,shashankvemuri/Finance,ranaroussi/quantstats,coding-kitties/investing-algorithm-framework,asavinov/intelligent-trading-bot,zvtvz/zvt | shashankvemuri/Finance | ranaroussi/quantstats | coding-kitties/investing-algorithm-framework | asavinov/intelligent-trading-bot
deepspeedai/DeepSpeed,deepspeedai-DeepSpeed,Good,0,0,3,10,10,157,0.0,InterDigitalInc/CompressAI,alibaba/EasyParallelLibrary,qualcomm/aimet,tensorflow/compression,tensorflow/model-optimization,InterDigitalInc/CompressAI | alibaba/EasyParallelLibrary | qualcomm/aimet | tensorflow/compression | tensorflow/model-optimization
eriklindernoren/ML-From-Scratch,eriklindernoren-ML-From-Scratch,Good,0,0,3,13,10,186,59.35,mdbloice/Augmentor,aleju/imgaug,tflearn/tflearn,aladdinpersson/Machine-Learning-Collection,annoviko/pyclustering,mdbloice/Augmentor | aleju/imgaug | tflearn/tflearn | aladdinpersson/Machine-Learning-Collection | annoviko/pyclustering
huggingface/datasets,huggingface-datasets,Good,0,0,0,8,10,211,49.67,katanaml/sparrow,jacobgil/pytorch-grad-cam,yanshengjia/ml-road,Lightning-AI/litgpt,IBM/unitxt,katanaml/sparrow | jacobgil/pytorch-grad-cam | yanshengjia/ml-road | Lightning-AI/litgpt | IBM/unitxt
huggingface/transformers,huggingface-transformers,Good,0,0,0,20,10,225,0.0,GradientHQ/parallax,hiyouga/EasyR1,speechbrain/speechbrain,Tencent/AngelSlim,OpenBMB/UltraRAG,GradientHQ/parallax | hiyouga/EasyR1 | speechbrain/speechbrain | Tencent/AngelSlim | OpenBMB/UltraRAG
jina-ai/serve,jina-ai-serve,Good,0,0,0,4,10,192,69.04,bentoml/BentoML,Netflix/metaflow,hongbo-miao/hongbomiao.com,DaoCloud/DaoCloud-docs,PrefectHQ/fastmcp,bentoml/BentoML | Netflix/metaflow | hongbo-miao/hongbomiao.com | DaoCloud/DaoCloud-docs | PrefectHQ/fastmcp
pytorch/pytorch,pytorch-pytorch,Good,0,0,0,28,10,193,0.0,chainer/chainer,norse/norse,pranftw/neograd,leptonai/leptonai,oreilly-japan/deep-learning-from-scratch-3,chainer/chainer | norse/norse | pranftw/neograd | leptonai/leptonai | oreilly-japan/deep-learning-from-scratch-3
